Indiv,circ10504,circ1057,circ12095,circ12207,circ12297,circ12861,circ13522,circ13670,circ14091,circ14192,circ14478,circ14544,circ15905,circ16286,circ16822,circ16827,circ17231,circ17403,circ17406,circ17411,circ17606,circ17709,circ18268,circ18608,circ18795,circ19323,circ196,circ20012,circ202,circ20464,circ206,circ2066,circ20873,circ21294,circ21473,circ217,circ22417,circ22526,circ22965,circ246,circ25503,circ26539,circ2748,circ27587,circ3279,circ3518,circ364,circ3752,circ4215,circ4735,circ5511,circ5522,circ5918,circ5960,circ5999,circ6066,circ6877,circ7177,circ7852,circ8487
AT35_TC,0.0393,0.118,0.0984,0,0.059,0.0197,0.0197,0.0393,0.0393,0.0197,0.0197,0.0393,0.0984,0,0.0787,0.0393,0,0.0197,0,0,0.0393,0.0197,0.0393,0,0,0.059,0,0,0.059,0.0197,0.0197,0.0197,0.2557,0.0197,0.118,0.0197,0.0197,0.0393,0.0393,0.3147,0.1967,0.0393,0,0,0,0.2754,0.0197,0.0197,0,0.0984,0.0787,0.236,0.0197,0,0.0197,0.0197,0.0393,0.059,0,0.0197
AT37_FC,0.021,0.0839,0.0524,0.0105,0.042,0.0105,0.0105,0.0734,0.0315,0.0105,0,0.021,0.0734,0.0839,0.0315,0.042,0.0315,0.0315,0.0315,0,0.0105,0.1049,0,0.0315,0,0.0524,0.0105,0.0315,0.021,0,0.0105,0.021,0.0839,0,0,0,0.0105,0.0105,0.021,0.0629,0.0944,0.021,0.0105,0.021,0,0.1049,0,0.021,0.0524,0.0315,0,0.2307,0.0524,0.0315,0,0.042,0,0.021,0.0524,0.0105
AT37_TC,0,0,0,0.0256,0.0897,0.0513,0.0256,0.0897,0.0513,0,0.0128,0.0641,0.2307,0.1666,0,0.0385,0,0.0256,0.0513,0.0385,0.0128,0.0128,0.0385,0.0128,0.0128,0,0.0641,0.0513,0,0.0513,0.0641,0.0256,0.1794,0,0.1282,0,0,0.0385,0.0256,0.769,0.282,0.0769,0.0128,0,0.0128,0.141,0,0,0,0.1538,0.0641,0.1923,0.0128,0,0.0128,0,0.0513,0.0256,0.0128,0.0256
AT39_FC,0.014,0,0,0.014,0.1117,0.014,0,0,0.0559,0.0279,0.0279,0.0419,0.1536,0.0978,0.0698,0,0.0279,0,0.0419,0,0.014,0.014,0.0279,0,0,0.014,0,0.0419,0.014,0,0.014,0.014,0,0,0.014,0.0279,0,0.014,0,0.1257,0.0698,0.014,0,0.014,0,0.0419,0.0279,0,0.0419,0.0279,0,0.1397,0.014,0.0279,0,0.0279,0,0,0.0698,0
AT39_TC,0,0.0424,0.0593,0.0085,0.0848,0.017,0,0.0339,0.0424,0.0763,0.0339,0.0509,0.0933,0.1356,0,0.017,0.017,0,0.017,0,0.0339,0,0.017,0.017,0.017,0.0933,0,0.0254,0.0339,0.0509,0.0085,0.0254,0.0763,0.0593,0.0424,0.0085,0.017,0.017,0.0339,0.2713,0,0.0339,0,0.0085,0,0.0509,0.017,0.0254,0.0085,0.0424,0,0.1187,0.0509,0.0424,0.017,0.017,0.017,0.017,0,0
AT40_TC,0.0152,0.076,0.0912,0,0.076,0,0.0152,0.0456,0.1064,0.0152,0.0152,0.0912,0.0912,0.1216,0.1064,0,0.0304,0,0.0152,0.0456,0,0.0304,0.0152,0,0.0456,0.0152,0.0608,0.0152,0.0152,0.0304,0.0152,0.0456,0,0.0456,0.076,0.0304,0,0,0,0.152,0.0456,0.0304,0,0.0304,0.0152,0.0608,0,0.0456,0.0304,0,0.0608,0.1824,0.0304,0,0,0,0.0608,0.0152,0.0608,0.0152
AT41_FC,0.0098,0.0391,0.0685,0.0294,0.0979,0,0,0.0783,0.0587,0.0489,0.0294,0.0391,0.1761,0.0979,0.0196,0.0294,0.0098,0,0.0391,0.0294,0.0391,0.0098,0.0685,0.0196,0.0098,0.0489,0,0.0196,0.0294,0,0.0196,0.0391,0,0,0,0.0098,0,0.0098,0,0.2055,0.1076,0.0098,0.0294,0.0098,0,0.0685,0.0098,0,0,0.0294,0.0587,0.0294,0.0294,0.0685,0.0489,0,0.0587,0.0196,0.0587,0.0294
AT41_TC,0.0314,0.0734,0,0.0314,0.0314,0,0.0314,0.0314,0.0314,0.021,0,0,0.0734,0.0105,0.0524,0.0105,0,0.0105,0.021,0.0314,0.0105,0.0105,0.0419,0.021,0.0105,0.0105,0,0.021,0.0734,0.0105,0,0.0524,0,0.0105,0.0839,0.0105,0.0105,0.021,0.0105,0.1782,0,0.021,0,0.0105,0,0.1782,0.0314,0,0,0.0419,0.021,0.0943,0.0105,0.0105,0,0,0.0314,0.0105,0.021,0.021
AT42_FC,0,0.0628,0.0628,0,0.0837,0.0419,0.0419,0.0209,0.0419,0,0.0209,0,0.2093,0.0628,0.0209,0.0209,0,0.0209,0.0419,0.0209,0,0.0837,0,0,0.0209,0,0,0,0,0.0209,0.0209,0.0209,0.0419,0.0209,0,0,0,0.0628,0,0.0628,0.0419,0,0,0,0,0,0,0,0.0209,0,0,0.1256,0,0.0209,0,0.0419,0,0,0,0
AT43_FC,0.0418,0.0418,0.0314,0.0105,0.0628,0.0105,0,0.0209,0.0418,0.0314,0.0105,0.0209,0.0732,0.0523,0.0105,0.0418,0.0105,0,0.0314,0.0105,0,0.0941,0.0105,0,0.0105,0,0.0209,0.0105,0,0.0314,0,0,0.0314,0,0,0,0.0105,0.0105,0,0,0.0209,0,0,0,0,0.0628,0,0.0105,0.0209,0.0314,0.0105,0.0314,0.0418,0,0.0105,0,0.0418,0.0314,0.0105,0.0105
